tkepr	kepr	tfit	fit	res
0	-68	-14.1831	-1125.04	1057.04
0.0293	-72	-14.1539	-1129.64	1057.64
0.05861	-74	-14.1245	-1134.28	1060.28
0.08791	-77	-14.0952	-1138.97	1061.97
0.11722	-80	-14.0659	-1143.7	1063.7
0.14652	-82	-14.0366	-1148.49	1066.49
0.17582	-82	-14.0073	-1153.32	1071.32
0.20513	-82	-13.978	-1158.21	1076.21
0.23443	-80	-13.9487	-1163.14	1083.14
0.26374	-80	-13.9194	-1168.13	1088.13
0.29304	-79	-13.8901	-1173.17	1094.17
0.32234	-79	-13.8608	-1178.27	1099.27
0.35165	-80	-13.8315	-1183.42	1103.42
0.38095	-79	-13.8022	-1188.62	1109.62
0.41026	-77	-13.7729	-1193.88	1116.88
0.43956	-78	-13.7436	-1199.2	1121.2
0.46886	-79	-13.7143	-1204.57	1125.57
0.49817	-81	-13.685	-1210.01	1129.01
0.52747	-84	-13.6557	-1215.5	1131.5
0.55678	-85	-13.6264	-1221.06	1136.06
0.58608	-86	-13.5971	-1226.68	1140.68
0.61538	-87	-13.5678	-1232.36	1145.36
0.64469	-88	-13.5385	-1238.11	1150.11
0.67399	-90	-13.5092	-1243.92	1153.92
0.7033	-90	-13.4798	-1249.79	1159.79
0.7326	-90	-13.4506	-1255.74	1165.74
0.7619	-89	-13.4212	-1261.75	1172.75
0.79121	-89	-13.3919	-1267.83	1178.83
0.82051	-88	-13.3626	-1273.99	1185.99
0.84982	-86	-13.3333	-1280.22	1194.22
0.87912	-86	-13.304	-1286.52	1200.52
0.90842	-86	-13.2747	-1292.89	1206.89
0.93773	-86	-13.2454	-1299.34	1213.34
0.96703	-85	-13.2161	-1305.87	1220.87
0.99634	-84	-13.1868	-1312.48	1228.48
1.02564	-81	-13.1575	-1319.17	1238.17
1.05495	-80	-13.1282	-1325.94	1245.94
1.08425	-78	-13.0989	-1332.8	1254.8
1.11355	-77	-13.0696	-1339.73	1262.73
1.14286	-77	-13.0403	-1346.76	1269.76
1.17216	-76	-13.011	-1353.88	1277.88
1.20147	-76	-12.9817	-1361.08	1285.08
1.23077	-78	-12.9524	-1368.38	1290.38
1.26007	-79	-12.9231	-1375.77	1296.77
1.28938	-79	-12.8938	-1383.26	1304.26
1.31868	-79	-12.8645	-1390.84	1311.84
1.34799	-78	-12.8352	-1398.52	1320.52
1.37729	-78	-12.8059	-1406.3	1328.3
1.40659	-80	-12.7766	-1414.19	1334.19
1.4359	-81	-12.7472	-1422.18	1341.18
1.4652	-82	-12.718	-1430.28	1348.28
1.49451	-83	-12.6886	-1438.49	1355.49
1.52381	-84	-12.6593	-1446.81	1362.81
1.55311	-86	-12.63	-1455.24	1369.24
1.58242	-88	-12.6007	-1463.79	1375.79
1.61172	-91	-12.5714	-1472.46	1381.46
1.64103	-95	-12.5421	-1481.25	1386.25
1.67033	-98	-12.5128	-1490.16	1392.16
1.69963	-100	-12.4835	-1499.2	1399.2
1.72894	-102	-12.4542	-1508.37	1406.37
1.75824	-103	-12.4249	-1517.67	1414.67
1.78755	-104	-12.3956	-1527.11	1423.11
1.81685	-105	-12.3663	-1536.68	1431.68
1.84615	-104	-12.337	-1546.39	1442.39
1.87546	-103	-12.3077	-1556.25	1453.25
1.90476	-102	-12.2784	-1566.25	1464.25
1.93407	-100	-12.2491	-1576.41	1476.41
1.96337	-99	-12.2198	-1586.72	1487.72
1.99267	-101	-12.1905	-1597.19	1496.19
2.02198	-104	-12.1612	-1607.82	1503.82
2.05128	-105	-12.1319	-1618.61	1513.61
2.08059	-106	-12.1026	-1629.57	1523.57
2.10989	-108	-12.0733	-1640.7	1532.7
2.13919	-109	-12.044	-1652.01	1543.01
2.1685	-110	-12.0147	-1663.5	1553.5
2.1978	-111	-11.9854	-1675.18	1564.18
2.22711	-112	-11.956	-1687.05	1575.05
2.25641	-115	-11.9267	-1699.11	1584.11
2.28571	-119	-11.8974	-1711.36	1592.36
2.31502	-122	-11.8681	-1723.83	1601.83
2.34432	-125	-11.8388	-1736.5	1611.5
2.37363	-125	-11.8095	-1749.39	1624.39
2.40293	-124	-11.7802	-1762.5	1638.5
2.43223	-123	-11.7509	-1775.83	1652.83
2.46154	-123	-11.7216	-1789.4	1666.4
2.49084	-122	-11.6923	-1803.21	1681.21
2.52015	-120	-11.663	-1817.26	1697.26
2.54945	-117	-11.6337	-1831.55	1714.55
2.57875	-115	-11.6044	-1846.11	1731.11
2.60806	-113	-11.5751	-1860.93	1747.93
2.63736	-111	-11.5458	-1876.03	1765.03
2.66667	-111	-11.5165	-1891.4	1780.4
2.69597	-112	-11.4872	-1907.06	1795.06
2.72527	-113	-11.4579	-1923.01	1810.01
2.75458	-114	-11.4286	-1939.28	1825.28
2.78388	-116	-11.3993	-1955.85	1839.85
2.81319	-117	-11.37	-1972.74	1855.74
2.84249	-118	-11.3407	-1989.96	1871.96
2.87179	-119	-11.3114	-2007.53	1888.53
2.9011	-121	-11.2821	-2025.45	1904.45
2.9304	-123	-11.2527	-2043.73	1920.73
2.95971	-122	-11.2234	-2062.38	1940.38
2.98901	-121	-11.1941	-2081.41	1960.41
3.01832	-121	-11.1648	-2100.85	1979.85
3.04762	-120	-11.1355	-2120.69	2000.69
3.07692	-118	-11.1062	-2140.95	2022.95
3.10623	-117	-11.0769	-2161.65	2044.65
3.13553	-116	-11.0476	-2182.8	2066.8
3.16484	-115	-11.0183	-2204.42	2089.42
3.19414	-114	-10.989	-2226.51	2112.51
3.22344	-113	-10.9597	-2249.1	2136.1
3.25275	-113	-10.9304	-2272.2	2159.2
3.28205	-113	-10.9011	-2295.84	2182.84
3.31136	-115	-10.8718	-2320.02	2205.02
3.34066	-118	-10.8425	-2344.77	2226.77
3.36996	-121	-10.8132	-2370.11	2249.11
3.39927	-122	-10.7839	-2396.07	2274.07
3.42857	-123	-10.7546	-2422.65	2299.65
3.45788	-123	-10.7253	-2449.9	2326.9
3.48718	-124	-10.696	-2477.81	2353.81
3.51648	-124	-10.6667	-2506.44	2382.44
3.54579	-127	-10.6374	-2535.81	2408.81
3.57509	-127	-10.6081	-2565.93	2438.93
3.6044	-127	-10.5787	-2596.85	2469.85
3.6337	-126	-10.5495	-2628.59	2502.59
3.663	-127	-10.5201	-2661.18	2534.18
3.69231	-127	-10.4908	-2694.68	2567.68
3.72161	-126	-10.4615	-2729.1	2603.1
3.75092	-124	-10.4322	-2764.49	2640.49
3.78022	-123	-10.4029	-2800.89	2677.89
3.80952	-124	-10.3736	-2838.34	2714.34
3.83883	-125	-10.3443	-2876.9	2751.9
3.86813	-128	-10.315	-2916.61	2788.61
3.89744	-130	-10.2857	-2957.52	2827.52
3.92674	-131	-10.2564	-2999.69	2868.69
3.95604	-130	-10.2271	-3043.16	2913.16
3.98535	-129	-10.1978	-3088.04	2959.04
4.01465	-128	-10.1685	-3134.34	3006.34
4.04396	-128	-10.1392	-3182.18	3054.18
4.07326	-128	-10.1099	-3231.6	3103.6
4.10256	-129	-10.0806	-3282.69	3153.69
4.13187	-130	-10.0513	-3335.55	3205.55
4.16117	-131	-10.022	-3390.26	3259.26
4.19048	-132	-9.99267	-3446.93	3314.93
4.21978	-133	-9.96337	-3505.65	3372.65
4.24908	-133	-9.93407	-3566.54	3433.54
4.27839	-133	-9.90476	-3629.74	3496.74
4.30769	-133	-9.87546	-3695.36	3562.36
4.337	-133	-9.84615	-3763.56	3630.56
4.3663	-131	-9.81685	-3834.48	3703.48
4.3956	-129	-9.78755	-3908.28	3779.28
4.42491	-127	-9.75824	-3985.18	3858.18
4.45421	-127	-9.72894	-4065.32	3938.32
4.48352	-126	-9.69963	-4148.98	4022.98
4.51282	-127	-9.67033	-4236.32	4109.32
4.54212	-128	-9.64103	-4327.63	4199.63
4.57143	-129	-9.61172	-4423.22	4294.22
4.60073	-130	-9.58242	-4523.31	4393.31
4.63004	-129	-9.55311	-4628.33	4499.33
4.65934	-130	-9.52381	-4738.55	4608.55
4.68864	-130	-9.49451	-4854.42	4724.42
4.71795	-131	-9.4652	-4976.42	4845.42
4.74725	-131	-9.4359	-5104.97	4973.97
4.77656	-130	-9.40659	-5240.71	5110.71
4.80586	-131	-9.37729	-5384.14	5253.14
4.83516	-131	-9.34799	-5536	5405
4.86447	-130	-9.31868	-5697.11	5567.11
4.89377	-129	-9.28938	-5868.22	5739.22
4.92308	-127	-9.26007	-6050.42	5923.42
4.95238	-125	-9.23077	-6244.69	6119.69
4.98168	-124	-9.20147	-6452.34	6328.34
5.01099	-122	-9.17216	-6674.89	6552.89
5.04029	-119	-9.14286	-6913.81	6794.81
5.0696	-116	-9.11355	-7171.18	7055.18
5.0989	-114	-9.08425	-7449.02	7335.02
5.12821	-112	-9.05494	-7750.09	7638.09
5.15751	-111	-9.02564	-8077.19	7966.19
5.18681	-110	-8.99634	-8433.98	8323.98
5.21612	-110	-8.96703	-8824.82	8714.82
5.24542	-110	-8.93773	-9254.55	9144.55
5.27473	-111	-8.90842	-9729.6	9618.6
5.30403	-113	-8.87912	-10257.2	10144.2
5.33333	-114	-8.84982	-10846.6	10732.6
5.36264	-114	-8.82051	-11509.9	11395.9
5.39194	-113	-8.79121	-12261.2	12148.2
5.42125	-113	-8.7619	-13119.8	13006.8
5.45055	-113	-8.7326	-14109.9	13996.9
5.47985	-114	-8.7033	-15264.5	15150.5
5.50916	-114	-8.67399	-16628.9	16514.9
5.53846	-115	-8.64469	-18264.7	18149.7
5.56777	-116	-8.61538	-20263.5	20147.5
5.59707	-116	-8.58608	-22759.1	22643.1
5.62637	-117	-8.55678	-25964.4	25847.4
5.65568	-116	-8.52747	-30233.9	30117.9
5.68498	-116	-8.49817	-36198.3	36082.3
5.71429	-117	-8.46886	-45124.2	45007.2
5.74359	-117	-8.43956	-59932.6	59815.6
5.77289	-118	-8.41026	-89311.4	89193.4
5.8022	-118	-8.38095	-175647	175529
5.8315	-120	-8.35165	-5.60273E6	5.60261E6
5.86081	-121	-8.32234	186871	-186992
5.89011	-123	-8.29304	91807.8	-91930.8
5.91941	-125	-8.26374	60802.9	-60927.9
5.94872	-128	-8.23443	45421.5	-45549.5
5.97802	-131	-8.20513	36236	-36367
6.00733	-132	-8.17582	30126.8	-30258.8
6.03663	-133	-8.14652	25772.8	-25905.8
6.06593	-134	-8.11722	22511.5	-22645.5
6.09524	-136	-8.08791	19976.7	-20112.7
6.12454	-138	-8.05861	17951.3	-18089.3
6.15385	-138	-8.0293	16294.6	-16432.6
6.18315	-139	-8	14915.3	-15054.3
6.21245	-140	-7.9707	13748.6	-13888.6
6.24176	-140	-7.94139	12748.7	-12888.7
6.27106	-139	-7.91209	11882.7	-12021.7
6.30037	-139	-7.88278	11124.9	-11263.9
6.32967	-139	-7.85348	10456.6	-10595.6
6.35897	-139	-7.82418	9862.77	-10001.8
6.38828	-139	-7.79487	9331.34	-9470.34
6.41758	-139	-7.76557	8853.31	-8992.31
6.44689	-140	-7.73626	8420.72	-8560.72
6.47619	-141	-7.70696	8027.65	-8168.65
6.50549	-142	-7.67766	7668.81	-7810.81
6.5348	-143	-7.64835	7339.8	-7482.8
6.5641	-142	-7.61905	7037.25	-7179.25
6.59341	-141	-7.58974	6757.9	-6898.9
6.62271	-139	-7.56044	6499.36	-6638.36
6.65201	-137	-7.53114	6259.31	-6396.31
6.68132	-135	-7.50183	6035.76	-6170.76
6.71062	-135	-7.47253	5827.19	-5962.19
6.73993	-134	-7.44322	5632.03	-5766.03
6.76923	-132	-7.41392	5449.15	-5581.15
6.79853	-131	-7.38462	5277.35	-5408.35
6.82784	-130	-7.35531	5115.62	-5245.62
6.85714	-129	-7.32601	4963.19	-5092.19
6.88645	-129	-7.2967	4819.19	-4948.19
6.91575	-129	-7.2674	4683.02	-4812.02
6.94505	-129	-7.2381	4554.02	-4683.02
6.97436	-130	-7.20879	4431.61	-4561.61
7.00366	-132	-7.17949	4315.36	-4447.36
7.03297	-135	-7.15018	4204.75	-4339.75
7.06227	-136	-7.12088	4099.44	-4235.44
7.09158	-137	-7.09157	3999.01	-4136.01
7.12088	-137	-7.06227	3903.17	-4040.17
7.15018	-138	-7.03297	3811.6	-3949.6
7.17949	-139	-7.00366	3723.98	-3862.98
7.20879	-139	-6.97436	3640.12	-3779.12
7.2381	-139	-6.94505	3559.73	-3698.73
7.2674	-139	-6.91575	3482.65	-3621.65
7.2967	-140	-6.88645	3408.65	-3548.65
7.32601	-141	-6.85714	3337.53	-3478.53
7.35531	-141	-6.82784	3269.18	-3410.18
7.38462	-140	-6.79853	3203.38	-3343.38
7.41392	-140	-6.76923	3140.04	-3280.04
7.44322	-139	-6.73993	3079.01	-3218.01
7.47253	-139	-6.71062	3020.14	-3159.14
7.50183	-139	-6.68132	2963.35	-3102.35
7.53114	-140	-6.65201	2908.51	-3048.51
7.56044	-140	-6.62271	2855.54	-2995.54
7.58974	-139	-6.59341	2804.34	-2943.34
7.61905	-138	-6.5641	2754.8	-2892.8
7.64835	-136	-6.5348	2706.88	-2842.88
7.67766	-136	-6.50549	2660.47	-2796.47
7.70696	-138	-6.47619	2615.52	-2753.52
7.73626	-139	-6.44689	2571.95	-2710.95
7.76557	-137	-6.41758	2529.69	-2666.69
7.79487	-135	-6.38828	2488.71	-2623.71
7.82418	-134	-6.35897	2448.92	-2582.92
7.85348	-134	-6.32967	2410.29	-2544.29
7.88278	-136	-6.30037	2372.77	-2508.77
7.91209	-136	-6.27106	2336.3	-2472.3
7.94139	-137	-6.24176	2300.85	-2437.85
7.9707	-138	-6.21245	2266.36	-2404.36
8	-138	-6.18315	2232.81	-2370.81
8.0293	-137	-6.15385	2200.16	-2337.16
8.05861	-137	-6.12454	2168.36	-2305.36
8.08791	-137	-6.09524	2137.4	-2274.4
8.11722	-137	-6.06593	2107.22	-2244.22
8.14652	-136	-6.03663	2077.81	-2213.81
8.17582	-136	-6.00733	2049.14	-2185.14
8.20513	-138	-5.97802	2021.17	-2159.17
8.23443	-141	-5.94872	1993.89	-2134.89
8.26374	-144	-5.91941	1967.25	-2111.25
8.29304	-145	-5.89011	1941.26	-2086.26
8.32234	-146	-5.86081	1915.89	-2061.89
8.35165	-146	-5.8315	1891.09	-2037.09
8.38095	-146	-5.8022	1866.88	-2012.88
8.41026	-147	-5.77289	1843.2	-1990.2
8.43956	-147	-5.74359	1820.07	-1967.07
8.46886	-149	-5.71429	1797.45	-1946.45
8.49817	-148	-5.68498	1775.32	-1923.32
8.52747	-148	-5.65568	1753.68	-1901.68
8.55678	-149	-5.62637	1732.49	-1881.49
8.58608	-149	-5.59707	1711.77	-1860.77
8.61538	-148	-5.56777	1691.48	-1839.48
8.64469	-146	-5.53846	1671.61	-1817.61
8.67399	-144	-5.50916	1652.15	-1796.15
8.7033	-143	-5.47985	1633.09	-1776.09
8.7326	-144	-5.45055	1614.41	-1758.41
8.7619	-143	-5.42125	1596.11	-1739.11
8.79121	-142	-5.39194	1578.17	-1720.17
8.82051	-139	-5.36264	1560.58	-1699.58
8.84982	-136	-5.33333	1543.33	-1679.33
8.87912	-133	-5.30403	1526.42	-1659.42
8.90842	-132	-5.27473	1509.83	-1641.83
8.93773	-131	-5.24542	1493.55	-1624.55
8.96703	-130	-5.21612	1477.58	-1607.58
8.99634	-130	-5.18681	1461.89	-1591.89
9.02564	-129	-5.15751	1446.5	-1575.5
9.05495	-130	-5.1282	1431.39	-1561.39
9.08425	-131	-5.0989	1416.55	-1547.55
9.11355	-133	-5.0696	1401.98	-1534.98
9.14286	-133	-5.04029	1387.66	-1520.66
9.17216	-132	-5.01099	1373.6	-1505.6
9.20147	-131	-4.98168	1359.78	-1490.78
9.23077	-130	-4.95238	1346.2	-1476.2
9.26007	-131	-4.92308	1332.85	-1463.85
9.28938	-131	-4.89377	1319.72	-1450.72
9.31868	-131	-4.86447	1306.82	-1437.82
9.34799	-132	-4.83516	1294.13	-1426.13
9.37729	-132	-4.80586	1281.66	-1413.66
9.40659	-133	-4.77656	1269.39	-1402.39
9.4359	-135	-4.74725	1257.31	-1392.31
9.4652	-135	-4.71795	1245.43	-1380.43
9.49451	-137	-4.68864	1233.74	-1370.74
9.52381	-139	-4.65934	1222.24	-1361.24
9.55311	-141	-4.63004	1210.92	-1351.92
9.58242	-143	-4.60073	1199.77	-1342.77
9.61172	-144	-4.57143	1188.8	-1332.8
9.64103	-144	-4.54212	1178	-1322
9.67033	-145	-4.51282	1167.36	-1312.36
9.69963	-146	-4.48352	1156.89	-1302.89
9.72894	-148	-4.45421	1146.56	-1294.56
9.75824	-150	-4.42491	1136.4	-1286.4
9.78755	-151	-4.3956	1126.38	-1277.38
9.81685	-152	-4.3663	1116.52	-1268.52
9.84615	-151	-4.337	1106.8	-1257.8
9.87546	-149	-4.30769	1097.21	-1246.21
9.90476	-148	-4.27839	1087.77	-1235.77
9.93407	-148	-4.24908	1078.46	-1226.46
9.96337	-148	-4.21978	1069.28	-1217.28
9.99267	-148	-4.19048	1060.23	-1208.23
10.022	-146	-4.16117	1051.31	-1197.31
10.0513	-145	-4.13187	1042.51	-1187.51
10.0806	-143	-4.10256	1033.84	-1176.84
10.1099	-143	-4.07326	1025.28	-1168.28
10.1392	-142	-4.04396	1016.84	-1158.84
10.1685	-142	-4.01465	1008.51	-1150.51
10.1978	-144	-3.98535	1000.3	-1144.3
10.2271	-145	-3.95604	992.192	-1137.19
10.2564	-144	-3.92674	984.195	-1128.19
10.2857	-145	-3.89744	976.303	-1121.3
10.315	-147	-3.86813	968.512	-1115.51
10.3443	-148	-3.83883	960.825	-1108.82
10.3736	-150	-3.80952	953.234	-1103.23
10.4029	-152	-3.78022	945.743	-1097.74
10.4322	-153	-3.75092	938.348	-1091.35
10.4615	-152	-3.72161	931.043	-1083.04
10.4908	-151	-3.69231	923.833	-1074.83
10.5201	-149	-3.663	916.711	-1065.71
10.5495	-149	-3.6337	909.68	-1058.68
10.5787	-148	-3.6044	902.736	-1050.74
10.6081	-148	-3.57509	895.874	-1043.87
10.6374	-147	-3.54579	889.098	-1036.1
10.6667	-147	-3.51648	882.403	-1029.4
10.696	-146	-3.48718	875.79	-1021.79
10.7253	-144	-3.45788	869.256	-1013.26
10.7546	-142	-3.42857	862.798	-1004.8
10.7839	-141	-3.39927	856.419	-997.419
10.8132	-140	-3.36996	850.113	-990.113
10.8425	-140	-3.34066	843.882	-983.882
10.8718	-140	-3.31136	837.724	-977.724
10.9011	-139	-3.28205	831.635	-970.635
10.9304	-138	-3.25275	825.618	-963.618
10.9597	-137	-3.22344	819.668	-956.668
10.989	-136	-3.19414	813.788	-949.788
11.0183	-136	-3.16483	807.972	-943.972
11.0476	-136	-3.13553	802.223	-938.223
11.0769	-138	-3.10623	796.538	-934.538
11.1062	-139	-3.07692	790.915	-929.915
11.1355	-138	-3.04762	785.356	-923.356
11.1648	-137	-3.01831	779.856	-916.856
11.1941	-136	-2.98901	774.418	-910.418
11.2234	-136	-2.95971	769.039	-905.039
11.2528	-135	-2.9304	763.717	-898.717
11.2821	-137	-2.9011	758.453	-895.453
11.3114	-138	-2.87179	753.244	-891.244
11.3407	-139	-2.84249	748.093	-887.093
11.37	-141	-2.81319	742.995	-883.995
11.3993	-141	-2.78388	737.95	-878.95
11.4286	-141	-2.75458	732.959	-873.959
11.4579	-140	-2.72527	728.019	-868.019
11.4872	-140	-2.69597	723.131	-863.131
11.5165	-139	-2.66667	718.294	-857.294
11.5458	-139	-2.63736	713.505	-852.505
11.5751	-140	-2.60806	708.766	-848.766
11.6044	-142	-2.57875	704.074	-846.074
11.6337	-142	-2.54945	699.431	-841.431
11.663	-143	-2.52015	694.834	-837.834
11.6923	-144	-2.49084	690.282	-834.282
11.7216	-144	-2.46154	685.777	-829.777
11.7509	-142	-2.43223	681.315	-823.315
11.7802	-139	-2.40293	676.898	-815.898
11.8095	-136	-2.37363	672.525	-808.525
11.8388	-135	-2.34432	668.193	-803.193
11.8681	-136	-2.31502	663.904	-799.904
11.8974	-138	-2.28571	659.655	-797.655
11.9267	-139	-2.25641	655.449	-794.449
11.956	-139	-2.22711	651.283	-790.283
11.9854	-139	-2.1978	647.155	-786.155
12.0147	-139	-2.1685	643.068	-782.068
12.044	-138	-2.13919	639.017	-777.017
12.0733	-136	-2.10989	635.007	-771.007
12.1026	-130	-2.08059	631.034	-761.034
12.1319	-123	-2.05128	627.096	-750.096
12.1612	-115	-2.02198	623.196	-738.196
