t1kepr	1kepr	t1fit	1fit	1res	t2kepr	2kepr	t2fit	2fit	2res
0	-39	-8.99634	12709.4	-12748.4	0	32	-9.47985	11939.7	-11907.7
0.01465	-34	-8.98169	12695.8	-12729.8	0.01465	34	-9.4652	11927.9	-11893.9
0.0293	-28	-8.96704	12682.3	-12710.3	0.0293	36	-9.45055	11916.1	-11880.1
0.04396	-25	-8.95238	12668.7	-12693.7	0.04396	36	-9.43589	11904.4	-11868.4
0.05861	-23	-8.93773	12655.1	-12678.1	0.05861	37	-9.42124	11892.7	-11855.7
0.07326	-22	-8.92308	12641.6	-12663.6	0.07326	37	-9.40659	11881	-11844
0.08791	-21	-8.90843	12628.1	-12649.1	0.08791	39	-9.39194	11869.3	-11830.3
0.10256	-19	-8.89378	12614.6	-12633.6	0.10256	39	-9.37729	11857.6	-11818.6
0.11722	-16	-8.87912	12601.1	-12617.1	0.11722	40	-9.36263	11846	-11806
0.13187	-11	-8.86447	12587.7	-12598.7	0.13187	40	-9.34798	11834.3	-11794.3
0.14652	-9	-8.84982	12574.2	-12583.2	0.14652	40	-9.33333	11822.7	-11782.7
0.16117	-8	-8.83517	12560.8	-12568.8	0.16117	39	-9.31868	11811.2	-11772.2
0.17582	-8	-8.82052	12547.4	-12555.4	0.17582	38	-9.30403	11799.6	-11761.6
0.19048	-9	-8.80586	12534	-12543	0.19048	37	-9.28937	11788	-11751
0.20513	-9	-8.79121	12520.6	-12529.6	0.20513	39	-9.27472	11776.5	-11737.5
0.21978	-9	-8.77656	12507.3	-12516.3	0.21978	42	-9.26007	11765	-11723
0.23443	-9	-8.76191	12493.9	-12502.9	0.23443	46	-9.24542	11753.5	-11707.5
0.24908	-9	-8.74726	12480.6	-12489.6	0.24908	48	-9.23077	11742.1	-11694.1
0.26374	-9	-8.7326	12467.3	-12476.3	0.26374	50	-9.21611	11730.6	-11680.6
0.27839	-9	-8.71795	12454	-12463	0.27839	53	-9.20146	11719.2	-11666.2
0.29304	-9	-8.7033	12440.7	-12449.7	0.29304	56	-9.18681	11707.8	-11651.8
0.30769	-9	-8.68865	12427.5	-12436.5	0.30769	58	-9.17216	11696.4	-11638.4
0.32234	-8	-8.674	12414.2	-12422.2	0.32234	60	-9.15751	11685	-11625
0.337	-8	-8.65934	12401	-12409	0.337	61	-9.14285	11673.7	-11612.7
